name,address,phone_number,url,maps_link
GOOD Cannabis - Fairbanks,"356 Old Steese Hwy  Fairbanks, AK",(907) 452-5463,https://dutchie.com/dispensary/good-cannabis/info,https://www.google.com/maps?q=356%20Old%20Steese%20Hwy%2C%20Fairbanks%2C%20AK%2099701
Uncle Herb's (King Circle),"209 King Cir  Anchorage, AK",(907) 243-4372,https://dutchie.com/dispensary/uncle-king-circle/info,https://www.google.com/maps?q=209%20King%20Cir%2C%20Anchorage%2C%20AK%2099515
AK Frost,"5200 A St  Anchorage, AK",(907) 563-9333,https://dutchie.com/dispensary/ak-frost/info,https://www.google.com/maps?q=5200%20A%20St%2C%20Anchorage%2C%20AK%2099518
The Roots Hillside,"8639 Toloff St  Anchorage, AK",(907) 868-8639,https://dutchie.com/dispensary/hillside-roots/info,https://www.google.com/maps?q=8639%20Toloff%20St%2C%20Anchorage%2C%20AK%2099507
OSH,"Anchorage, AK",Not Listed,https://dutchie.com/dispensary/osh/info,https://www.google.com/maps?q=Anchorage%2C%20AK%20
Uncle Herb's (Arctic Spur),"6511 Arctic Spur Rd  Anchorage, AK",(907) 561-4372,https://dutchie.com/dispensary/uncle-herbs-anchorage/info,https://www.google.com/maps?q=6511%20Arctic%20Spur%20Rd%2C%20Anchorage%2C%20AK%2099518
Top Shelf Herbs of Alaska,"901 Photo Ave  Anchorage, AK",(907) 222-2488,https://dutchie.com/dispensary/topshelf-herbs-of-alaska/info,https://www.google.com/maps?q=901%20Photo%20Ave%2C%20Anchorage%2C%20AK%2099503
Cosmic Cannabis Company,"261 E Bunnell Ave  Homer, AK",(907) 435-0508,https://dutchie.com/dispensary/cosmic-cannabis-company/info,https://www.google.com/maps?q=261%20E%20Bunnell%20Ave%2C%20Homer%2C%20AK%2099603
Thee Treasure Chest,"1000 Water St  Craig, AK",(907) 826-2499,https://dutchie.com/dispensary/thee-treasure-chest/info,https://www.google.com/maps?q=1000%20Water%20St%2C%20Craig%2C%20AK%2099921
Dankorage,"2812 Spenard Rd  Anchorage, AK",(907) 279-3265,https://dutchie.com/dispensary/dankorage/info,https://www.google.com/maps?q=2812%20Spenard%20Rd%2C%20Anchorage%2C%20AK%2099503
True Dank,"1550 S Cushman St  Fairbanks, AK",(907) 451-4516,https://dutchie.com/dispensary/true-dank/info,https://www.google.com/maps?q=1550%20S%20Cushman%20St%2C%20Fairbanks%2C%20AK%2099701
GOOD Cannabis - McCarthy,"Glennallen, AK",Not Listed,https://dutchie.com/dispensary/copper-nugget-dba-good-cannabis-mccarthy/info,https://www.google.com/maps?q=Glennallen%2C%20AK%2099588
FivePoint Cannabis 1st St,"1318 1 St SW  Calgary, AB",+1 825-540-1318,https://dutchie.com/dispensary/fivepointcannabis-victoriapark/info,https://www.google.com/maps?q=1318%201%20St%20SW%2C%20Calgary%2C%20AB%20T2R%200V7
Enlighten Alaska,"2600 Spenard Rd  Anchorage, AK",(907) 290-8559,https://dutchie.com/dispensary/enlighten-alaska/info,https://www.google.com/maps?q=2600%20Spenard%20Rd%2C%20Anchorage%2C%20AK%2099503
Hollyweed 907,"2429 E 88th Ave  Anchorage, AK",(907) 929-3331,https://dutchie.com/dispensary/hollyweed-907/info,https://www.google.com/maps?q=2429%20E%2088th%20Ave%2C%20Anchorage%2C%20AK%2099507
Uncle Herb's (Boniface),"360 Boniface Pkwy  Anchorage, AK",(907) 333-4372,https://dutchie.com/dispensary/uncle-herbs-boniface/info,https://www.google.com/maps?q=360%20Boniface%20Pkwy%2C%20Anchorage%2C%20AK%2099504
The Roots Raspberry,"501 Raspberry Rd  Anchorage, AK",(907) 522-2450,https://dutchie.com/dispensary/theroots-raspberry/info,https://www.google.com/maps?q=501%20Raspberry%20Rd%2C%20Anchorage%2C%20AK%2099518
Dank Cannabis - Ranchlands,"1829 Ranchlands Blvd NW 123 Calgary, AB",+1 587-392-7059,https://dutchie.com/dispensary/dank-cannabis-ranchlands/info,https://www.google.com/maps?q=1829%20Ranchlands%20Blvd%20NW%2C%20123%2C%20Calgary%2C%20AB%20T3G%202A7
ERBN Green - Sundre,"305 Main Ave W  Sundre, AB",+1 403-636-1664,https://dutchie.com/dispensary/erbn-green-sundre/info,https://www.google.com/maps?q=305%20Main%20Ave%20W%2C%20Sundre%2C%20AB%20T0M%201X0
The Roots Midtown,"360 E International Airport Rd  Anchorage, AK",(907) 563-0018,https://dutchie.com/dispensary/theroots-midtown/info,https://www.google.com/maps?q=360%20E%20International%20Airport%20Rd%2C%20Anchorage%2C%20AK%2099518
High Bush Buds,"36312 Irons Ave  Soldotna, AK",(907) 953-9393,https://dutchie.com/dispensary/high-bush-buds/info,https://www.google.com/maps?q=36312%20Irons%20Ave%2C%20Soldotna%2C%20AK%2099669
Alaskan Kush Company,"159 S Franklin St  Juneau, AK",(907) 500-7440,https://dutchie.com/dispensary/alaskan-kush-company/info,https://www.google.com/maps?q=159%20S%20Franklin%20St%2C%20Juneau%2C%20AK%2099801
Cannabis Cove,"7198 N Tongass Hwy  Ketchikan, AK",(907) 225-7575,https://dutchie.com/dispensary/cannabis-cove/info,https://www.google.com/maps?q=7198%20N%20Tongass%20Hwy%2C%20Ketchikan%2C%20AK%2099901
The Stoney Moose,"127 Stedman St  Ketchikan, AK",(907) 220-9099,https://dutchie.com/dispensary/the-stoney-moose/info,https://www.google.com/maps?q=127%20Stedman%20St%2C%20Ketchikan%2C%20AK%2099901
Uncle Herb's (Homer),"1213 Ocean Dr  Homer, AK",(907) 235-4372,https://dutchie.com/dispensary/uncle-herb-homer/info,https://www.google.com/maps?q=1213%20Ocean%20Dr%2C%20Homer%2C%20AK%2099603
Dandelion,"1053 Haines Hwy  Haines, AK",(907) 766-3505,https://dutchie.com/dispensary/dandelion/info,https://www.google.com/maps?q=1053%20Haines%20Hwy%2C%20Haines%2C%20AK%2099827
Red Run Cannabis Co. (Kenai),"5455 Kenai Spur Hwy  Kenai, AK",(907) 283-0800,https://dutchie.com/dispensary/red-run-cannabis-company/info,https://www.google.com/maps?q=5455%20Kenai%20Spur%20Hwy%2C%20Kenai%2C%20AK%2099611
Harvest Cannabis Dispensary,"1200 Thomas G Wilson Dr  Conway, AR",(501) 504-6065,https://dutchie.com/dispensary/harvest-cannabis-dispensary/info,https://www.google.com/maps?q=1200%20Thomas%20G%20Wilson%20Dr%2C%20Conway%2C%20AR%2072032
Enlightened Dispensary Clarksville,"131 Massengale Rd  Clarksville, AR",(479) 358-7575,https://dutchie.com/dispensary/enlightened-dispensary-clarksville/info,https://www.google.com/maps?q=131%20Massengale%20Rd%2C%20Clarksville%2C%20AR%2072830
East Rip,"10767 Kenai Spur Hwy  Kenai, AK",(907) 283-7833,https://dutchie.com/dispensary/east-rip/info,https://www.google.com/maps?q=10767%20Kenai%20Spur%20Hwy%2C%20Kenai%2C%20AK%2099611
Wildflower,"158 Alimaq Dr  Kodiak, AK",Not Listed,https://dutchie.com/dispensary/wildflower/info,https://www.google.com/maps?q=158%20Alimaq%20Dr%2C%20Kodiak%2C%20AK%2099615
Red's Outpost,"41790 Sterling Hwy  Soldotna, AK",(907) 759-1222,https://dutchie.com/dispensary/reds-outpost/info,https://www.google.com/maps?q=41790%20Sterling%20Hwy%2C%20Soldotna%2C%20AK%2099669
River Valley Natural Health,"Moffett, OK",(539) 352-2005,https://dutchie.com/dispensary/river-valley-natural-health/info,https://www.google.com/maps?q=Moffett%2C%20OK%2074946
Green Elephant,"101 Mill St  Juneau, AK",(907) 290-8400,https://dutchie.com/dispensary/green-elephant/info,https://www.google.com/maps?q=101%20Mill%20St%2C%20Juneau%2C%20AK%2099801
High Rise,"104 Center St  Kodiak, AK",(907) 313-5383,https://dutchie.com/dispensary/high-rise/info,https://www.google.com/maps?q=104%20Center%20St%2C%20Kodiak%2C%20AK%2099615
Remedy Shoppe,"307 3rd Ave  Skagway, AK",(907) 983-3345,https://dutchie.com/dispensary/remedy-shoppe/info,https://www.google.com/maps?q=307%203rd%20Ave%2C%20Skagway%2C%20AK%2099840
Arkansas Natural Products,"1303 Hwy 65 S  Clinton, AR",(501) 386-3166,https://dutchie.com/dispensary/arkansas-natural-products/info,https://www.google.com/maps?q=1303%20Hwy%2065%20S%2C%20Clinton%2C%20AR%2072031
