Company id,Company Legal Name,DBA Names,State,# of active Licenses,# of Pending Licenses,Primary Business Types,licenses_1_list_licenseNumber,Company emails,Company Phone,Websites,Social Sites,Establishment Address
1670a7ab-eeba-4155-b3cd-27c61f4af198,Silver Therapeutics Cultivation LLC,"Silver Therapeutics - Brunswick, Me Cultivation Facility",ME,1,1,"Cultivation, Product Manufacturer, Distributor",AMF1262,hello@agtherapeutics.com,+12077150165,https://silver-therapeutics.com/location/recreational-cannabis-dispensary-portland-me-04101,"https://facebook.com/silvertherapeutics?ref=page_internal, https://linkedin.com/company/silver-therapeutics, https://instagram.com/silvertherapeutics, https://silver-therapeutics.com/location/recreational-cannabis-dispensary-portland-me-04101/?dtche%5Bproduct%5D=weed-and-flowers-socks","Brunswick, ME 04011, USA"
3753568b-fa92-43c2-82d3-3307e2c29b4d,Tejas Jani,"SAGE CANNABIS, Sage Cannabis",ON,1,0,Retailer,CRSA1190676,info@sagecannabiscanada.ca,+19052164422,https://sagecannabiscanada.ca,"https://instagram.com/sagecannabis3, https://linkedin.com/company/sage-cannabis/about, https://sagecannabiscanada.ca/shop-online?dtche%5Bproduct%5D=wappa-86463","160 Main St S unit 17, Brampton, ON L6W 2E1, Canada"
ccfe7531-92b5-48e2-8016-f3c4ad8eafaf,Evolution Herb Co LLC,"BUZZIES, Buzzies",ME,1,2,Cultivation,ACA1604,high@buzzies.co,,"https://evolutionherb.co, https://evolutionherb.co/about-ehc","https://twitter.com/evolutionherbco, https://instagram.com/evolutionherbco, https://herb.co/dispensaries/pac-la","Solon, ME, USA"
0cc4d349-2ceb-4d88-9d31-1a12fa457f13,1154115 BC LTD,Royal Blunt Cannabis,ON,1,0,Retailer,CRSA1187480,,+15199158002,https://royalblunt.ca,https://royalblunt.ca/loyalty,"2615 Howard Ave unit 5, Windsor, ON N8X 3W7, Canada"
d0335397-5c87-4ab1-ab5d-d5695c7d9e84,Kender Farms Inc,"BLUE SKY, Blue Sky",ME,3,9,"Cultivation, Retailer, Product Manufacturer, Distributor",AMF1605,store@blueskymaine.com,+12075787328,https://blueskymaine.com,"https://instagram.com/BlueSkyLabMaine, https://facebook.com/blueskymaine, https://instagram.com/blueskymaine, https://twitter.com/blueskymaine, https://recmenu.blueskymaine.com/stores/kender-farms","Farmington, ME, USA"
421465de-f4d8-4461-8fd8-1d84f65373b1,"HEATHWOOD COMPANY, LLC",KIND & CO,ME,2,1,"Cultivation, Product Manufacturer, Distributor, Delivery, Retailer, Transporter",DSP203,info@kindand.co,+12075721086,https://kindand.co,https://kindand.co/recreational-menu-portland?dtche%5Bcategory%5D=flower,"Windham, ME 04062, USA"
f3938272-49e5-4f3c-a090-eef2c1a9fb0e,Trimed Sustainable Solution LLC,"TriMed Sustainable Solution LLC, TRIMED SUSTAINABLE SOLUTION LLC",MI,2,0,"Cultivation, Pending Type",ERG-001048,"edenwaymm@gmail.com, niles@thereleafcenters.com",+12692206565,https://thereleafcenters.com,"https://facebook.com/profile.php?id=100069190862307, https://facebook.com/releafcenters, https://instagram.com/releafcentermichigan, https://thereleafcenters.com/niles-recreational?dtche%5Bproduct%5D=element-watermelon-mimosa-live-resin-cart","1840 Terminal Rd suite b, Niles, MI 49120, USA"
649c32eb-fa64-4a28-b815-a5b2a76c4c4e,Information Entropy I(x3,"Information Entropy I(x3), Information Entropy",MI,1,0,"Product Manufacturer, Pending Type",AU-P-000223,"1115broadway@informationentropy.com, support@informationentropy.com",+17349294207,https://informationentropy.com,"https://facebook.com/informationentropy, https://twitter.com/1115_Broadway, https://instagram.com/informationentropy, https://youtube.com/channel/UCY5ng8goLQZaQTHm2gq9doA, https://linkedin.com/company/information-entropy, https://informationentropy.com/menu","3935 Research Park Dr, Ann Arbor, MI 48108, USA"
c6f78dea-64d1-4bc6-8e3e-06da8799a74e,Information Entropy I(x4,"Information Entropy I(x4), Information Entropy, Information Entrophy I(x4)",MI,1,0,"Retailer, Pending Type",AU-R-000569,"1115broadway@informationentropy.com, support@informationentropy.com",+17343693372,"https://informationentropy.com, https://informationentropy.com/about-us","https://crunchbase.com/organization/information-entropy, https://facebook.com/informationentropy, https://instagram.com/informationentropy, https://twitter.com/1115_broadway?lang=en, https://youtube.com/channel/UCY5ng8goLQZaQTHm2gq9doA, https://informationentropy.com/menu, https://twitter.com/1115_Broadway","202 Miller Ave, Ann Arbor, MI 48104, USA"
ffdeeb46-0543-4ab1-ad15-1df2e70696a1,One Garden,"One Garden, Sozo Health Inc, Sozo Flint",MI,17,0,"Cultivation, Pending Type",GR-C-000500,hi@sozocompanies.com,+18105007696,https://sozolife.com,"https://sozolife.com/locations/flint/flint-recreational?dtche%5Bproduct%5D=dubs-dimes-classic-whole-flower-28g-velvet-revenge-2, https://instagram.com/sozo_fam, https://facebook.com/SozoFam","23775 Hoover Rd, Warren, MI 48089, USA"
